Point Number;X cooridnate;Y coordinate;Z coordinate
1;-600;-789;672
2;782;234;-382
3;856;-831;-792
4;182;806;116
5;-550;-734;738
6;566;-524;-94
7;-972;-389;336
8;228;330;389
9;-857;-315;398
10;-469;150;6
11;-384;-403;-661
12;-383;407;-679
13;-525;-486;-333
14;-644;-60;714
15;573;266;-454
16;495;-521;-60
17;191;715;115
18;163;165;356
19;-390;363;-736
20;-722;766;27
21;-472;481;-763
22;58;-643;-312
23;-113;-502;512
24;-445;-808;746
25;-586;101;-72
26;-229;-347;-726
27;-142;-332;549
28;-390;528;713
29;228;235;436
30;-562;-5;891
31;-465;408;-818
32;-17;382;-446
33;-765;845;-140
34;128;353;-312
35;-648;-818;752
36;878;-709;-761
37;-494;288;-96
38;-744;770;-127
39;-689;774;-146
40;380;-89;-806
41;597;-571;546
42;274;-177;-714
43;-770;-498;238
44;431;-453;-124
45;-472;673;883
46;733;317;498
47;202;782;134
48;628;-392;-120
49;-895;773;44
50;585;-547;-102
51;-843;809;-143
52;166;330;344
53;233;-233;-691
54;-496;-835;853
55;-875;-572;376
56;-893;693;-50
57;-108;-517;629
58;-528;-42;915
59;-846;865;-22
60;-181;-411;556
61;605;-479;649
62;-417;-866;719
63;-33;-655;-362
64;643;-537;598
65;-292;-392;-755
66;731;385;-475
67;-470;-398;-795
68;622;-478;-283
69;-601;-503;-106
70;-553;-372;-136
71;634;-436;-59
72;-581;-922;848
73;438;-568;-206
74;355;-251;-782
75;824;-676;-833
76;-588;-731;711
77;-709;723;52
78;747;-810;-752
79;-594;164;40
80;-506;331;-836
81;423;-174;-609
82;-97;-464;653
83;-496;-816;665
84;-268;-385;-879
85;793;-763;-838
86;-460;-480;-120
87;-468;600;694
88;-848;-428;218
89;788;-764;-721
90;-212;-333;-771
91;836;232;633
92;725;249;576
93;220;667;51
94;-414;463;-666
95;-881;804;-102
96;98;-749;-491
97;-53;348;-311
98;652;-488;-175
99;145;349;-334
100;91;-767;-414
101;-169;-389;569
102;583;309;-310
103;-305;-398;-804
104;109;295;331
105;688;268;-281
106;-452;-384;-698
107;-395;-438;-732
108;-357;-449;-753
109;-573;-108;919
110;-452;-430;-820
111;194;265;296
112;-623;-4;915
113;782;-590;568
114;115;-687;-546
115;-236;-449;517
116;-473;501;-715
117;712;-702;-812
118;647;343;-502
119;-90;-704;-420
120;108;473;-361
121;230;-196;-752
122;14;-378;548
123;-903;-542;399
124;-468;-888;658
125;-760;694;-114
126;-146;-440;511
127;-443;413;-650
128;-487;132;-63
129;111;461;-316
130;604;-547;525
131;574;298;-341
132;-431;683;758
133;-417;548;812
134;-437;277;-79
135;718;240;-343
136;-935;-456;427
137;-898;-347;333
138;-54;421;-422
139;-502;-870;885
140;648;-502;680
141;218;317;495
142;-434;425;-631
143;-886;-454;366
144;893;236;437
145;-513;-385;-241
146;108;-704;-497
147;52;280;-257
148;567;310;-442
149;-780;752;-16
150;118;324;-345
151;109;332;509
152;-334;627;850
153;-496;-757;797
154;-621;-26;803
155;-313;-219;-765
156;294;880;-12
157;289;-98;-686
158;79;-816;-487
159;-189;-387;602
160;-732;-449;410
161;764;-605;585
162;898;239;620
163;-401;557;697
164;-249;-255;-844
165;235;846;-31
166;888;220;596
167;-531;-28;740
168;193;295;329
169;-781;-384;226
170;701;-462;649
171;740;-563;726
172;-622;-859;761
173;-553;-101;791
174;-362;401;-840
175;-413;604;829
176;-595;240;52
177;870;-780;-737
178;-664;22;907
179;828;-892;-869
180;829;317;544
181;811;-829;-776
182;249;-168;-777
183;-479;179;-56
184;821;360;592
185;-589;597;816
186;556;-598;-247
187;182;-660;-476
188;-580;-750;702
189;12;-742;-322
190;-481;262;-695
191;507;-455;-265
192;295;-86;-721
193;664;340;-475
194;-355;398;-661
195;94;375;-232
196;-301;-395;-851
197;766;-642;-791
198;-106;-329;503
199;-528;-773;665
200;-650;-476;-177
201;-439;618;757
202;-617;-929;727
203;768;267;538
204;682;-435;-206
205;-402;-414;-892
206;-116;341;-324
207;776;-798;-935
208;758;-484;655
209;-385;-339;-675
210;-465;-405;-812
211;-749;855;41
212;342;-112;-573
213;-151;-468;604
214;-524;-834;819
215;471;-594;-118
216;-632;131;-59
217;141;232;435
218;-635;-27;929
219;-509;227;88
220;835;-721;-802
221;-470;-398;-200
222;-13;379;-398
223;612;-444;-200
224;-106;-431;427
225;264;854;55
226;-727;703;76
227;218;-186;-627
228;-655;-488;-309
229;219;709;78
230;-577;-380;-149
231;305;309;305
232;-501;-868;853
233;-667;-121;781
234;-506;324;-670
235;-384;425;-653
236;-529;14;914
237;275;831;69
238;-618;-447;-302
239;752;300;-460
240;822;-770;-942
241;-476;508;-693
242;-478;539;660
243;75;-783;-443
244;822;248;611
245;-536;-563;-196
246;-499;584;686
247;693;-717;-733
248;-350;-451;-806
249;-480;133;102
250;463;-437;-188
251;-528;-915;645
252;851;-804;-747
253;-861;-506;417
254;221;220;367
255;905;404;449
256;886;-770;-837
257;-634;49;893
258;-517;521;877
259;-540;-813;690
260;-365;526;727
261;-449;-269;-845
262;-739;-393;238
263;652;-510;547
264;-407;103;34
265;845;274;678
266;-756;-342;268
267;313;296;497
268;-480;7;883
269;133;333;355
270;51;-653;-504
271;-890;769;16
272;228;-144;-802
273;307;-165;-653
274;286;826;84
275;160;372;339
276;-869;759;-124
277;-694;-442;294
278;-774;636;-50
279;-197;-490;630
280;260;-50;-724
281;701;270;-524
282;662;-419;-214
283;-476;249;-25
284;-611;-431;-210
285;-363;458;-740
286;685;-825;-780
287;605;-627;536
288;-545;-866;761
289;-384;622;860
290;-246;-386;-854
291;-553;665;800
292;730;-716;-808
293;-462;681;882
294;860;-702;-799
295;-456;-282;-858
296;-489;-15;695
297;16;-393;459
298;531;360;-405
299;8;-646;-446
300;576;-438;-170
301;295;324;455
302;606;-606;-72
303;873;213;632
304;35;361;-425
305;770;-738;-789
306;-473;-412;-785
307;-454;-342;-886
308;-392;430;-799
309;-427;114;-82
310;597;-444;-101
311;-709;-53;824
312;-227;-395;-737
313;-807;-384;236
314;-590;-5;895
315;590;212;-427
316;801;-755;-737
317;58;-680;-302
318;73;520;-317
319;-75;-499;629
320;507;-412;-123
321;283;933;60
322;239;821;1
323;-458;352;-600
324;563;-622;-80
325;-623;213;-60
326;-599;132;-111
327;592;-526;559
328;-9;422;-207
329;-10;-395;625
330;-459;-399;-265
331;-384;280;-765
332;-876;826;-61
333;-459;110;6
334;683;188;-479
335;814;-873;-770
336;-393;-347;-897
337;298;784;94
338;-762;-489;317
339;-576;-839;837
340;-470;-827;821
341;-395;458;-784
342;120;460;-261
343;746;232;-350
344;-523;-763;764
345;-464;-434;-234
346;693;298;-380
347;316;902;94
348;-403;240;-766
349;-636;-861;767
350;-79;412;-321
351;-945;-426;425
352;796;-697;-765
353;-451;232;66
354;-557;-121;812
355;-467;-871;809
356;676;296;-505
357;-19;-677;-329
358;519;-531;-178
359;-466;-874;803
360;436;-269;-707
361;-430;598;734
362;592;-407;-114
363;-487;-875;658
364;313;-245;-627
365;-470;152;-71
366;-520;-341;-257
367;676;-861;-840
368;499;-387;-141
369;25;-409;513
370;561;262;-478
371;-565;-38;870
372;20;477;-375
373;882;344;668
374;-447;415;794
375;-511;106;39
376;-865;-352;394
377;528;274;-328
378;-526;-480;-220
379;-570;20;695
380;-491;-321;-795
381;-693;836;-31
382;666;-782;-902
383;804;305;639
384;-584;-303;-216
385;91;-773;-351
386;383;-275;-727
387;257;415;434
388;135;482;-381
389;-550;477;-724
390;784;-721;-822
391;-240;-334;-699
392;-273;-315;-886
393;778;-535;596
394;230;805;119
395;258;164;401
396;-603;-350;-127
397;-267;-279;-821
398;801;253;482
399;-638;272;11
400;945;323;511
401;-58;456;-240
402;578;-611;-181
403;3;-663;-310
404;-478;404;-720
405;326;-114;-582
406;-383;485;-679
407;262;-184;-678
408;-526;-374;-314
409;-905;-345;312
410;565;391;-353
411;621;223;-407
412;666;-461;663
413;-613;-818;863
414;-578;-809;621
415;-847;-418;429
416;665;293;-398
417;272;663;33
418;-575;-135;825
419;219;200;495
420;-420;-477;-772
421;180;873;74
422;578;256;-501
423;-742;769;-147
424;294;348;422
425;448;-508;-138
426;-536;-735;774
427;683;-584;640
428;-36;466;-295
429;131;789;55
430;-696;-469;306
431;-645;-146;810
432;-544;283;-808
433;-399;367;-737
434;647;-468;-259
435;-920;-425;333
436;611;343;-486
437;256;755;-24
438;-427;-368;-681
439;-828;743;-52
440;-807;637;-59
441;188;201;433
442;-758;-454;380
443;920;414;561
444;-50;297;-384
445;-387;-406;-847
446;-518;609;838
447;800;-786;-923
448;-602;58;723
449;-478;-340;-739
450;-839;628;-57
451;618;-632;-193
452;-334;326;-714
453;708;-674;-853
454;318;-232;-630
455;-904;-461;459
456;-455;-312;-773
457;817;-860;-790
458;691;418;-425
459;794;-648;667
460;-729;-437;242
461;88;372;-451
462;-209;-429;523
463;-629;-166;743
464;-491;579;748
465;88;379;-301
466;698;220;-452
467;464;-459;-208
468;44;-595;-443
469;-414;221;83
470;-669;-114;724
471;869;329;612
472;-599;134;-87
473;146;415;-388
474;742;-838;-727
475;-41;-670;-545
476;-651;173;-36
477;698;-850;-703
478;400;-69;-765
479;872;-785;-913
480;274;730;166
481;284;304;300
482;-861;-463;200
483;-497;481;856
484;-612;75;832
485;-36;-321;470
486;831;-873;-712
487;641;-599;-159
488;429;-200;-732
489;-777;-351;250
490;153;312;405
491;-743;884;17
492;380;-224;-782
493;464;-482;-148
494;-705;-72;793
495;-595;237;19
496;-480;24;858
497;-45;-719;-417
498;657;-630;601
499;-548;490;891
500;617;-604;531
501;602;366;-470
502;-513;-78;889
503;68;476;-273
504;668;-770;-915
505;-595;-571;-243
506;207;413;405
507;-437;418;-753
508;228;412;405
509;-81;482;-361
510;262;345;484
511;-862;-315;379
512;152;368;-355
513;-726;-474;292
514;-57;-336;554
515;-495;-871;877
516;268;-89;-788
517;824;324;482
518;735;179;-425
519;750;-832;-845
520;608;305;-351
521;-395;315;-683
522;671;-765;-800
523;-15;-660;-498
524;-623;2;668
525;907;415;460
526;-633;-451;-294
527;291;270;349
528;113;454;-422
529;93;369;-224
530;-706;645;23
531;-507;-3;886
532;-727;-453;321
533;-44;-390;661
534;858;179;571
535;59;-538;-436
536;-534;378;-794
537;18;-347;502
538;142;359;439
539;524;-577;640
540;-443;-268;-823
541;-559;-872;749
542;-623;-396;-233
543;-425;550;759
544;210;166;486
545;872;-713;-865
546;388;-249;-785
547;-606;137;-85
548;26;-646;-543
549;534;-478;-212
550;157;729;5
551;442;-497;-155
552;245;-129;-633
553;644;-526;-103
554;-340;369;-729
555;593;-557;719
556;118;426;-439
557;-266;-312;-880
558;-598;45;719
559;632;210;-480
560;-397;450;-717
561;-480;432;-758
562;215;-173;-782
563;310;-208;-805
564;-710;719;76
565;146;389;-353
566;936;230;573
567;411;-205;-722
568;-426;-466;-158
569;-124;-478;565
570;-709;822;-70
571;-818;-463;451
572;-9;-415;561
573;-833;714;103
574;354;-304;-732
575;-396;-418;-829
576;-529;-374;-342
577;-532;-351;-267
578;575;-535;-225
579;-372;509;766
580;-577;-762;713
581;346;-285;-663
582;-251;-332;-820
583;149;213;322
584;-619;-143;882
585;-488;162;-1
586;-445;282;53
587;642;-707;554
588;828;226;546
589;742;375;-347
590;830;352;681
591;173;816;50
592;396;-283;-742
593;-334;-327;-651
594;-171;-532;540
595;-490;472;872
596;102;-642;-391
597;164;716;66
598;793;357;483
599;856;-787;-920
600;407;-184;-715
601;216;276;283
602;-628;-465;-214
603;597;207;-462
604;-844;713;-162
605;-864;803;-92
606;-1;525;-405
607;-563;-149;719
608;-533;-401;-123
609;659;-404;-204
610;-592;-436;-352
611;-463;403;-805
612;-273;-335;-742
613;-654;47;708
614;-486;-414;-243
615;254;-240;-706
616;-66;-647;-414
617;-597;-495;-124
618;303;845;97
619;898;408;619
620;-541;290;-814
621;-336;584;741
622;295;814;56
623;-622;-521;-242
624;-761;686;-154
625;612;-403;-111
626;-799;731;-136
627;19;-656;-351
628;-515;-9;785
629;-97;-677;-451
630;774;-606;666
631;735;-829;-746
632;758;-501;595
633;707;-687;-723
634;-521;533;830
635;12;471;-235
636;-874;801;-81
637;933;256;480
638;160;881;-16
639;-503;-346;-279
640;687;205;-317
641;-344;459;830
642;168;864;-13
643;692;342;-312
644;-425;-433;-841
645;780;295;-423
646;847;365;508
647;-833;-379;355
648;-477;-766;687
649;-457;223;107
650;145;343;-357
651;732;273;503
652;766;306;563
653;-450;352;-769
654;-251;-371;-758
655;-564;357;-785
656;-642;14;841
657;-204;-375;546
658;153;402;468
659;253;-146;-578
660;258;674;-8
661;157;378;351
662;-279;-279;-838
663;-603;-877;852
664;153;230;307
665;177;-726;-395
666;558;189;-412
667;-594;-40;826
668;-396;-428;-891
669;-652;-403;-225
670;207;855;64
671;299;255;393
672;343;783;-25
673;-4;-422;554
674;-574;-345;-268
675;-446;139;74
676;-127;-330;494
677;-156;-486;567
678;-391;-492;-759
679;-636;237;72
680;806;-582;599
681;285;226;490
682;638;320;-492
683;194;196;320
684;190;189;480
685;585;286;-320
686;-558;588;751
687;-442;397;-769
688;40;-464;531
689;133;400;-272
690;-521;-437;-266
691;418;-114;-785
692;251;279;289
693;-436;-840;770
694;-3;440;-272
695;167;362;327
696;899;312;620
697;-588;-111;915
698;808;402;433
699;490;-422;-198
700;-348;598;857
701;-611;-942;775
702;246;758;189
703;487;-400;-144
704;322;-87;-742
705;-108;-386;478
706;-595;274;-25
707;37;-648;-402
708;-542;-984;800
709;29;-550;-369
710;-267;-336;-746
711;74;288;-419
712;67;-633;-309
713;-32;-528;446
714;-403;557;683
715;-378;637;817
716;-418;-292;-821
717;41;383;-442
718;-538;664;783
719;-245;-441;-752
720;827;-800;-748
721;-561;455;-737
722;644;356;-314
723;-572;-883;720
724;722;-885;-796
725;-831;643;-53
726;252;383;423
727;-605;-440;-198
728;457;-445;-147
729;-628;-57;882
730;25;-540;-402
731;-498;-851;672
732;-266;-393;-840
733;308;-93;-763
734;434;-228;-621
735;722;318;-382
736;-549;554;785
737;-511;-929;768
738;-528;-954;833
739;-829;-536;391
740;759;-517;709
741;-301;-268;-886
742;-392;518;705
743;-486;119;62
744;-588;-429;-362
745;-781;749;12
746;-555;270;-762
747;27;366;-454
748;747;-700;-702
749;558;-579;-181
750;-116;-524;445
751;-395;324;-723
752;732;360;569
753;-808;-458;410
754;-358;-211;-818
755;730;-603;513
756;112;-657;-380
757;727;-745;-693
758;-233;-367;-880
759;-642;-421;-147
760;-352;353;-725
761;-727;674;13
762;514;-546;-198
763;277;-161;-702
764;-326;-350;-936
765;-325;-255;-731
766;683;323;-376
767;73;405;-268
768;222;-67;-722
769;-394;-458;-831
770;-346;628;751
771;-790;-329;311
772;310;-128;-792
773;-861;-471;375
774;-733;856;-37
775;-384;667;764
776;677;-774;-788
777;-785;-363;278
778;824;-832;-780
779;-537;-909;735
780;183;-641;-410
781;701;-732;-743
782;-300;-429;-746
783;-718;-407;267
784;164;385;396
785;-257;-422;-817
786;214;670;58
787;-112;-403;533
788;-38;-692;-382
789;263;-84;-670
790;315;677;13
791;-726;663;-21
792;-305;-297;-699
793;302;-52;-631
794;-582;-50;761
795;-884;743;-132
796;-515;-849;757
797;196;217;411
798;125;721;109
799;130;321;337
800;-882;-501;304
801;-866;699;70
802;-14;-486;453
803;814;320;469
804;687;-633;706
805;335;698;51
