Point Number;X cooridnate;Y coordinate;Z coordinate
1;-715;695;-514
2;-164;844;-198
3;68;-31;-4
4;-136;-525;546
5;154;862;705
6;-560;-532;-759
7;-738;710;-511
8;-42;24;576
9;-245;801;-175
10;-828;-470;627
11;3;-117;160
12;-784;-333;726
13;-562;-493;43
14;165;880;746
15;-814;154;334
16;72;-141;145
17;637;313;386
18;74;-145;71
19;327;176;-516
20;755;524;-494
21;553;332;365
22;-458;47;-320
23;-495;67;-334
24;-79;-573;582
25;-697;263;185
26;-152;3;641
27;-575;-559;-803
28;-525;41;-340
29;209;722;-871
30;-505;89;-327
31;753;-722;-59
32;-455;739;402
33;-775;722;-552
34;-871;701;-427
35;905;536;-553
36;743;282;270
37;-914;-370;573
38;136;-112;21
39;-512;51;-337
40;127;766;729
41;686;426;355
42;766;350;323
43;515;-554;-651
44;-98;-588;581
45;-71;-8;663
46;623;323;398
47;-175;-571;535
48;-690;88;245
49;-780;108;155
50;-188;-622;599
51;658;244;284
52;-829;-484;705
53;-777;-348;572
54;302;147;-508
55;384;759;-852
56;-539;-489;-23
57;210;841;709
58;-124;-569;589
59;802;-116;-214
60;383;159;-536
61;331;141;-529
62;-537;103;-324
63;629;-568;-695
64;676;-724;-106
65;-493;734;404
66;-230;834;-178
67;366;118;-525
68;-506;-494;-12
69;-722;714;-486
70;661;292;201
71;164;-83;-17
72;757;-210;-56
73;378;670;-738
74;51;-90;22
75;322;171;-475
76;504;-622;-701
77;740;-841;23
78;-457;89;-319
79;-806;-295;669
80;392;841;-831
81;610;-833;-137
82;329;116;-504
83;-610;-418;-850
84;353;163;-517
85;-473;856;445
86;-625;-540;-879
87;-533;-568;-771
88;-510;45;-296
89;791;385;-552
90;863;463;-612
91;-686;194;205
92;346;179;-557
93;279;166;-533
94;669;248;305
95;-754;794;-538
96;-411;693;427
97;663;307;253
98;743;-46;-141
99;635;338;240
100;107;879;769
101;-717;63;247
102;132;-38;38
103;-496;109;-312
104;-519;86;-370
105;331;192;-528
106;302;655;-814
107;-178;847;-220
108;-464;-475;-23
109;-536;-430;-19
110;-472;114;-325
111;595;-272;610
112;180;866;774
113;-464;827;383
114;-157;-620;575
115;-680;129;356
116;116;-222;89
117;762;-173;-193
118;317;160;-521
119;-147;-550;564
120;-657;257;212
121;-469;104;-351
122;-469;34;-331
123;594;-665;-736
124;381;173;-529
125;783;505;-598
126;-555;-466;-769
127;-800;242;170
128;-899;796;-504
129;-452;796;354
130;-408;786;403
131;735;-155;-83
132;-795;80;333
133;-618;-527;-771
134;240;825;-785
135;654;324;317
136;-451;-476;18
137;117;790;802
138;-549;-431;-60
139;118;743;729
140;781;-193;-45
141;-403;755;330
142;611;274;273
143;-506;761;434
144;877;446;-508
145;517;-605;-703
146;-420;796;393
147;-166;851;-188
148;878;-105;-181
149;756;571;-513
150;-174;-551;634
151;-108;47;622
152;472;-354;566
153;-774;68;268
154;-514;818;362
155;550;-643;-636
156;523;-649;-699
157;-729;212;205
158;383;759;-864
159;-471;824;442
160;689;392;264
161;515;-521;-694
162;-513;103;-330
163;-871;-365;686
164;-531;50;-314
165;498;-343;529
166;-475;-395;-12
167;-808;-475;678
168;-549;-426;1
169;579;-666;-732
170;358;179;-503
171;257;717;-869
172;-455;-415;44
173;765;-194;-117
174;-69;52;572
175;343;176;-533
176;-403;814;405
177;-705;273;208
178;342;213;-523
179;-469;96;-298
180;-483;729;468
181;-198;-596;621
182;-158;-532;608
183;-549;91;-326
184;-249;820;-205
185;-107;43;628
186;818;432;-621
187;133;731;761
188;-455;854;394
189;-562;-456;-43
190;224;691;-843
191;730;-192;-59
192;830;432;-572
193;-138;-647;585
194;-726;64;296
195;-876;-346;719
196;-743;-343;611
